kext,Esc
1.000000000000000e-10,9.999999254941940e-01
1.084145868935833e-10,9.999999552965164e-01
1.175372265130637e-10,9.999999403953552e-01
1.274274985703132e-10,9.999999552965164e-01
1.381499961638324e-10,9.999998807907104e-01
1.497747476345200e-10,9.999999850988388e-01
1.623776739188724e-10,9.999999254941940e-01
1.760410843865553e-10,9.999998956918716e-01
1.908542144006690e-10,9.999998956918716e-01
2.069138081114790e-10,9.999999105930328e-01
2.243247502898416e-10,9.999999701976776e-01
2.432007513267950e-10,9.999999403953552e-01
2.636650898730356e-10,9.999998956918716e-01
2.858514179684477e-10,9.999999552965164e-01
3.099046339199427e-10,9.999998360872269e-01
3.359818286283788e-10,9.999999403953552e-01
3.642533115449638e-10,9.999999403953552e-01
3.949037229576694e-10,9.999999552965164e-01
4.281332398719396e-10,9.999999403953552e-01
4.641588833612773e-10,9.999999552965164e-01
5.032159359259999e-10,9.999999403953552e-01
5.455594781168515e-10,9.999998658895493e-01
5.914660544591758e-10,9.999999552965164e-01
6.412354795576917e-10,9.999999105930328e-01
6.951927961775591e-10,9.999999403953552e-01
7.536903980898542e-10,9.999999701976776e-01
8.171103315457187e-10,9.999998658895493e-01
8.858667904100832e-10,9.999999403953552e-01
9.604088212505369e-10,9.999998956918716e-01
1.041223256048306e-09,9.999998956918716e-01
1.128837891684688e-09,9.999999403953552e-01
1.223824936968190e-09,9.999998509883881e-01
1.326804749714725e-09,9.999998658895493e-01
1.438449888287666e-09,9.999999254941940e-01
1.559489504058283e-09,9.999999552965164e-01
1.690714103473578e-09,9.999999105930328e-01
1.832980710832437e-09,9.999998956918716e-01
1.987218465488053e-09,9.999999254941940e-01
2.154434690031887e-09,9.999998807907104e-01
2.335721469090121e-09,9.999998509883881e-01
2.532262781698800e-09,9.999998062849045e-01
2.745342233838714e-09,9.999998360872269e-01
2.976351441631313e-09,9.999997615814209e-01
3.226799119945812e-09,9.999998360872269e-01
3.498320935775032e-09,9.999997913837433e-01
3.792690190732254e-09,9.999997615814209e-01
4.111829402435829e-09,9.999997317790985e-01
4.457822860419715e-09,9.999996125698090e-01
4.832930238571752e-09,9.999998360872269e-01
5.239601353002634e-09,9.999996572732925e-01
5.680492161728428e-09,9.999996572732925e-01
6.158482110660254e-09,9.999996572732925e-01
6.676692939187570e-09,9.999995231628418e-01
7.238509068173248e-09,9.999994486570358e-01
7.847599703514623e-09,9.999994933605194e-01
8.507942799627444e-09,9.999994784593582e-01
9.223851039358457e-09,9.999993592500687e-01
1.000000000000000e-08,9.999993741512299e-01
1.084145868935835e-08,9.999995082616806e-01
1.175372265130637e-08,9.999993741512299e-01
1.274274985703132e-08,9.999992102384567e-01
1.381499961638324e-08,9.999991804361343e-01
1.497747476345200e-08,9.999991357326508e-01
1.623776739188721e-08,9.999991357326508e-01
1.760410843865552e-08,9.999991059303284e-01
1.908542144006686e-08,9.999989420175552e-01
2.069138081114790e-08,9.999987483024597e-01
2.243247502898416e-08,9.999988526105881e-01
2.432007513267950e-08,9.999985396862030e-01
2.636650898730355e-08,9.999981075525284e-01
2.858514179684472e-08,9.999983161687851e-01
3.099046339199427e-08,9.999980926513672e-01
3.359818286283781e-08,9.999981969594955e-01
3.642533115449638e-08,9.999976158142090e-01
3.949037229576702e-08,9.999976158142090e-01
4.281332398719396e-08,9.999971687793732e-01
4.641588833612773e-08,9.999971985816956e-01
5.032159359259998e-08,9.999968558549881e-01
5.455594781168515e-08,9.999968409538269e-01
5.914660544591745e-08,9.999965727329254e-01
6.412354795576917e-08,9.999962598085403e-01
6.951927961775605e-08,9.999960511922836e-01
7.536903980898542e-08,9.999958276748657e-01
8.171103315457186e-08,9.999953061342239e-01
8.858667904100832e-08,9.999945461750031e-01
9.604088212505370e-08,9.999944418668747e-01
1.041223256048304e-07,9.999935179948807e-01
1.128837891684688e-07,9.999931454658508e-01
1.223824936968192e-07,9.999927282333374e-01
1.326804749714725e-07,9.999919980764389e-01
1.438449888287663e-07,9.999917745590210e-01
1.559489504058283e-07,9.999908804893494e-01
1.690714103473578e-07,9.999895095825195e-01
1.832980710832437e-07,9.999889731407166e-01
1.987218465488053e-07,9.999879896640778e-01
2.154434690031882e-07,9.999880194664001e-01
2.335721469090121e-07,9.999859929084778e-01
2.532262781698794e-07,9.999857991933823e-01
2.745342233838714e-07,9.999836087226868e-01
2.976351441631313e-07,9.999825656414032e-01
3.226799119945812e-07,9.999807029962540e-01
3.498320935775032e-07,9.999800175428391e-01
3.792690190732246e-07,9.999764859676361e-01
4.111829402435828e-07,9.999760836362839e-01
4.457822860419706e-07,9.999744594097137e-01
4.832930238571752e-07,9.999719709157944e-01
5.239601353002645e-07,9.999691098928452e-01
5.680492161728429e-07,9.999675750732422e-01
6.158482110660254e-07,9.999640434980392e-01
6.676692939187570e-07,9.999606907367706e-01
7.238509068173247e-07,9.999563694000244e-01
